Change Component Footprint: Designator=J2 Old Footprint=MOLEX_39-28-1023 New Footprint=TYCO_350582-1
Change Component Comment : Designator=J2 Old Comment=Mini-Fit Jr.™ New Comment=MATE-N-LOK
Change component parameters: Designator = "J2"; Footprint = "TYCO_350582-1"; UniqueID = "\IQQKJNLH"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentHeight"; Value = "14.73mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CreateDate"; Value = "06/06/2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "MATE-N-LOK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\TYCO_350582-1.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "06/06/2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TYCO ELECTRONICS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "350582-1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Description"; Value = "2 Circuits In-Line - Universal MATE-N-LOK Connector"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "TYCO_350582-1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMD"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Status"; Value = "None"; VariantName = "[No Variations]"
